🚀 正在初始化系统...
🔍 正在加载 Contriever 检索器...
📚 正在加载文档库...
📂 正在加载文件: /home/featurize/work/embeddings_1m/passages_00
📚 文档库加载完成，共 1000000 篇文档。
✅ 系统初始化完成
📂 正在加载数据集: professional_law 从 /home/featurize/work/mmlu_subset/professional_law.csv
✅ professional_law 加载完成，共 400 道题目
📂 正在加载数据集: moral_scenarios 从 /home/featurize/work/mmlu_subset/moral_scenarios.csv
✅ moral_scenarios 加载完成，共 400 道题目
📂 正在加载数据集: psychology 从 /home/featurize/work/mmlu_subset/psychology.csv
✅ psychology 加载完成，共 400 道题目
📂 正在加载数据集: mathematics 从 /home/featurize/work/mmlu_subset/mathematics.csv
✅ mathematics 加载完成，共 400 道题目

==================== 正在评测数据集: professional_law ====================
✅ 选取了 400 道题目 (数据集共 400 道)
题号: professional_law_0, 正确: True, 检索: 3.6497s, Rerank: 0.1972s, 生成: 2.6721s, 首字: 6.5895s, Rerank占比(总): 2.99%, Rerank占比(检): 5.13%
题号: professional_law_45, 正确: False, 检索: 4.2253s, Rerank: 0.0838s, 生成: 2.4977s, 首字: 6.8775s, Rerank占比(总): 1.22%, Rerank占比(检): 1.94%
题号: professional_law_46, 正确: False, 检索: 4.6533s, Rerank: 0.0876s, 生成: 2.5071s, 首字: 7.3228s, Rerank占比(总): 1.20%, Rerank占比(检): 1.85%
题号: professional_law_47, 正确: False, 检索: 4.6068s, Rerank: 0.0866s, 生成: 2.5105s, 首字: 7.2738s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_48, 正确: False, 检索: 4.6019s, Rerank: 0.0861s, 生成: 2.5122s, 首字: 7.2723s, Rerank占比(总): 1.18%, Rerank占比(检): 1.84%
题号: professional_law_49, 正确: False, 检索: 4.5878s, Rerank: 0.0875s, 生成: 2.5179s, 首字: 7.2650s, Rerank占比(总): 1.20%, Rerank占比(检): 1.87%
题号: professional_law_50, 正确: False, 检索: 4.6123s, Rerank: 0.0896s, 生成: 2.5216s, 首字: 7.2978s, Rerank占比(总): 1.23%, Rerank占比(检): 1.91%
题号: professional_law_51, 正确: False, 检索: 4.5967s, Rerank: 0.0872s, 生成: 2.5204s, 首字: 7.2774s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_52, 正确: True, 检索: 4.5271s, Rerank: 0.0882s, 生成: 2.5151s, 首字: 7.2020s, Rerank占比(总): 1.22%, Rerank占比(检): 1.91%
题号: professional_law_53, 正确: False, 检索: 4.5739s, Rerank: 0.0864s, 生成: 2.5192s, 首字: 7.2517s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_54, 正确: False, 检索: 4.6420s, Rerank: 0.0880s, 生成: 2.5290s, 首字: 7.3335s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_55, 正确: False, 检索: 4.5916s, Rerank: 0.0876s, 生成: 2.5117s, 首字: 7.2696s, Rerank占比(总): 1.21%, Rerank占比(检): 1.87%
题号: professional_law_56, 正确: False, 检索: 4.5960s, Rerank: 0.0868s, 生成: 2.5083s, 首字: 7.2623s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_57, 正确: False, 检索: 4.5923s, Rerank: 0.0873s, 生成: 2.5094s, 首字: 7.2639s, Rerank占比(总): 1.20%, Rerank占比(检): 1.87%
题号: professional_law_58, 正确: False, 检索: 3.5677s, Rerank: 0.0860s, 生成: 2.5118s, 首字: 6.2448s, Rerank占比(总): 1.38%, Rerank占比(检): 2.35%
题号: professional_law_59, 正确: True, 检索: 4.6003s, Rerank: 0.0869s, 生成: 2.5126s, 首字: 7.2748s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_60, 正确: False, 检索: 4.5827s, Rerank: 0.0860s, 生成: 2.5081s, 首字: 7.2475s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_61, 正确: True, 检索: 4.6054s, Rerank: 0.0869s, 生成: 2.5065s, 首字: 7.2731s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_62, 正确: False, 检索: 4.5512s, Rerank: 0.0859s, 生成: 2.5100s, 首字: 7.2182s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_63, 正确: True, 检索: 4.6088s, Rerank: 0.0865s, 生成: 2.5070s, 首字: 7.2759s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_64, 正确: True, 检索: 4.6045s, Rerank: 0.0856s, 生成: 2.5089s, 首字: 7.2716s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: professional_law_65, 正确: False, 检索: 4.4152s, Rerank: 0.0864s, 生成: 2.5090s, 首字: 7.0841s, Rerank占比(总): 1.22%, Rerank占比(检): 1.92%
题号: professional_law_66, 正确: False, 检索: 4.5962s, Rerank: 0.0863s, 生成: 2.5104s, 首字: 7.2633s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_67, 正确: False, 检索: 4.5602s, Rerank: 0.0863s, 生成: 2.5085s, 首字: 7.2254s, Rerank占比(总): 1.19%, Rerank占比(检): 1.86%
题号: professional_law_68, 正确: False, 检索: 4.5509s, Rerank: 0.0859s, 生成: 2.5060s, 首字: 7.2136s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_69, 正确: False, 检索: 4.6473s, Rerank: 0.0860s, 生成: 2.5123s, 首字: 7.3177s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: professional_law_70, 正确: False, 检索: 4.6060s, Rerank: 0.0857s, 生成: 2.5117s, 首字: 7.2761s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: professional_law_71, 正确: False, 检索: 4.5914s, Rerank: 0.0879s, 生成: 2.5093s, 首字: 7.2620s, Rerank占比(总): 1.21%, Rerank占比(检): 1.88%
题号: professional_law_72, 正确: False, 检索: 4.5756s, Rerank: 0.0863s, 生成: 2.5121s, 首字: 7.2467s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_73, 正确: False, 检索: 4.5824s, Rerank: 0.0861s, 生成: 2.5155s, 首字: 7.2561s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_74, 正确: False, 检索: 4.5809s, Rerank: 0.0861s, 生成: 2.5451s, 首字: 7.2850s, Rerank占比(总): 1.18%, Rerank占比(检): 1.84%
题号: professional_law_75, 正确: False, 检索: 3.6533s, Rerank: 0.0863s, 生成: 2.4719s, 首字: 6.2831s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_76, 正确: True, 检索: 3.5477s, Rerank: 0.0835s, 生成: 2.4218s, 首字: 6.1239s, Rerank占比(总): 1.36%, Rerank占比(检): 2.30%
题号: professional_law_77, 正确: False, 检索: 3.5449s, Rerank: 0.0838s, 生成: 2.4240s, 首字: 6.1224s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_78, 正确: False, 检索: 3.6839s, Rerank: 0.0875s, 生成: 2.5020s, 首字: 6.3466s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_79, 正确: False, 检索: 4.6320s, Rerank: 0.0869s, 生成: 2.5059s, 首字: 7.2975s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_80, 正确: True, 检索: 4.6219s, Rerank: 0.0871s, 生成: 2.5289s, 首字: 7.3130s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_81, 正确: False, 检索: 4.6236s, Rerank: 0.0875s, 生成: 2.5099s, 首字: 7.2957s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_82, 正确: False, 检索: 4.6253s, Rerank: 0.0878s, 生成: 2.4984s, 首字: 7.2855s, Rerank占比(总): 1.21%, Rerank占比(检): 1.86%
题号: professional_law_83, 正确: False, 检索: 4.6272s, Rerank: 0.0875s, 生成: 2.5172s, 首字: 7.3034s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_84, 正确: False, 检索: 4.6550s, Rerank: 0.0880s, 生成: 2.5297s, 首字: 7.3451s, Rerank占比(总): 1.20%, Rerank占比(检): 1.85%
题号: professional_law_85, 正确: True, 检索: 4.6342s, Rerank: 0.0887s, 生成: 2.5286s, 首字: 7.3262s, Rerank占比(总): 1.21%, Rerank占比(检): 1.88%
题号: professional_law_86, 正确: False, 检索: 4.6185s, Rerank: 0.0877s, 生成: 2.5130s, 首字: 7.2974s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_87, 正确: False, 检索: 4.6630s, Rerank: 0.0874s, 生成: 2.5278s, 首字: 7.3548s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_88, 正确: True, 检索: 4.6156s, Rerank: 0.0879s, 生成: 2.5161s, 首字: 7.2938s, Rerank占比(总): 1.20%, Rerank占比(检): 1.87%
题号: professional_law_89, 正确: False, 检索: 4.6147s, Rerank: 0.0893s, 生成: 2.5288s, 首字: 7.3089s, Rerank占比(总): 1.22%, Rerank占比(检): 1.90%
题号: professional_law_90, 正确: False, 检索: 4.6779s, Rerank: 0.0871s, 生成: 2.5140s, 首字: 7.3528s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: professional_law_91, 正确: False, 检索: 4.6512s, Rerank: 0.0872s, 生成: 2.5240s, 首字: 7.3344s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_92, 正确: False, 检索: 4.6955s, Rerank: 0.0884s, 生成: 2.5313s, 首字: 7.3909s, Rerank占比(总): 1.20%, Rerank占比(检): 1.85%
题号: professional_law_93, 正确: False, 检索: 4.6309s, Rerank: 0.0867s, 生成: 2.5279s, 首字: 7.3201s, Rerank占比(总): 1.18%, Rerank占比(检): 1.84%
题号: professional_law_94, 正确: False, 检索: 4.6124s, Rerank: 0.0867s, 生成: 2.5304s, 首字: 7.3053s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_95, 正确: False, 检索: 4.6652s, Rerank: 0.0872s, 生成: 2.5280s, 首字: 7.3515s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: professional_law_96, 正确: False, 检索: 4.6216s, Rerank: 0.0870s, 生成: 2.5313s, 首字: 7.3126s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_97, 正确: True, 检索: 4.6456s, Rerank: 0.0880s, 生成: 2.5274s, 首字: 7.3365s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_98, 正确: False, 检索: 4.6245s, Rerank: 0.0886s, 生成: 2.5351s, 首字: 7.3235s, Rerank占比(总): 1.21%, Rerank占比(检): 1.88%
题号: professional_law_99, 正确: False, 检索: 4.6492s, Rerank: 0.0880s, 生成: 2.5338s, 首字: 7.3442s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: professional_law_100, 正确: False, 检索: 4.6011s, Rerank: 0.0870s, 生成: 2.5319s, 首字: 7.2967s, Rerank占比(总): 1.19%, Rerank占比(检): 1.86%
题号: professional_law_101, 正确: False, 检索: 4.5880s, Rerank: 0.0879s, 生成: 2.5416s, 首字: 7.2919s, Rerank占比(总): 1.21%, Rerank占比(检): 1.88%
题号: professional_law_102, 正确: True, 检索: 4.6410s, Rerank: 0.0875s, 生成: 2.5267s, 首字: 7.3299s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: professional_law_103, 正确: False, 检索: 4.6419s, Rerank: 0.0888s, 生成: 2.5272s, 首字: 7.3317s, Rerank占比(总): 1.21%, Rerank占比(检): 1.88%
题号: professional_law_104, 正确: False, 检索: 4.5969s, Rerank: 0.0883s, 生成: 2.5387s, 首字: 7.2992s, Rerank占比(总): 1.21%, Rerank占比(检): 1.89%
题号: professional_law_105, 正确: False, 检索: 4.6673s, Rerank: 0.0870s, 生成: 2.5204s, 首字: 7.3482s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: professional_law_106, 正确: True, 检索: 4.6061s, Rerank: 0.0883s, 生成: 2.5258s, 首字: 7.2937s, Rerank占比(总): 1.21%, Rerank占比(检): 1.88%
题号: professional_law_107, 正确: False, 检索: 4.6629s, Rerank: 0.0889s, 生成: 2.5389s, 首字: 7.3657s, Rerank占比(总): 1.21%, Rerank占比(检): 1.87%
题号: professional_law_108, 正确: False, 检索: 4.6337s, Rerank: 0.0869s, 生成: 2.5228s, 首字: 7.3199s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: professional_law_109, 正确: False, 检索: 4.6740s, Rerank: 0.0902s, 生成: 2.4792s, 首字: 7.3187s, Rerank占比(总): 1.23%, Rerank占比(检): 1.89%
题号: professional_law_110, 正确: False, 检索: 3.5762s, Rerank: 0.0861s, 生成: 2.4435s, 首字: 6.1906s, Rerank占比(总): 1.39%, Rerank占比(检): 2.35%
题号: professional_law_111, 正确: False, 检索: 3.5718s, Rerank: 0.0851s, 生成: 2.4351s, 首字: 6.1704s, Rerank占比(总): 1.38%, Rerank占比(检): 2.33%
题号: professional_law_112, 正确: True, 检索: 3.5551s, Rerank: 0.0843s, 生成: 2.4298s, 首字: 6.1400s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_113, 正确: True, 检索: 3.5378s, Rerank: 0.0845s, 生成: 2.4361s, 首字: 6.1283s, Rerank占比(总): 1.38%, Rerank占比(检): 2.33%
题号: professional_law_114, 正确: True, 检索: 3.5512s, Rerank: 0.0845s, 生成: 2.4219s, 首字: 6.1277s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_115, 正确: False, 检索: 3.5511s, Rerank: 0.0845s, 生成: 2.4362s, 首字: 6.1418s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_116, 正确: False, 检索: 3.5419s, Rerank: 0.0839s, 生成: 2.4342s, 首字: 6.1305s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_117, 正确: False, 检索: 3.5352s, Rerank: 0.0832s, 生成: 2.4280s, 首字: 6.1159s, Rerank占比(总): 1.36%, Rerank占比(检): 2.30%
题号: professional_law_118, 正确: True, 检索: 3.5417s, Rerank: 0.0842s, 生成: 2.4297s, 首字: 6.1273s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_119, 正确: False, 检索: 3.5523s, Rerank: 0.0842s, 生成: 2.4278s, 首字: 6.1337s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_120, 正确: False, 检索: 3.5421s, Rerank: 0.0848s, 生成: 2.5181s, 首字: 6.2158s, Rerank占比(总): 1.36%, Rerank占比(检): 2.34%
题号: professional_law_121, 正确: False, 检索: 3.5927s, Rerank: 0.0856s, 生成: 2.4841s, 首字: 6.2327s, Rerank占比(总): 1.37%, Rerank占比(检): 2.33%
题号: professional_law_122, 正确: False, 检索: 3.5640s, Rerank: 0.0886s, 生成: 2.4847s, 首字: 6.2079s, Rerank占比(总): 1.43%, Rerank占比(检): 2.43%
题号: professional_law_123, 正确: False, 检索: 3.6173s, Rerank: 0.0878s, 生成: 2.5493s, 首字: 6.3254s, Rerank占比(总): 1.39%, Rerank占比(检): 2.37%
题号: professional_law_124, 正确: False, 检索: 3.5719s, Rerank: 0.0849s, 生成: 2.4237s, 首字: 6.1505s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_125, 正确: False, 检索: 3.5316s, Rerank: 0.0837s, 生成: 2.4312s, 首字: 6.1154s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_126, 正确: False, 检索: 3.5366s, Rerank: 0.0841s, 生成: 2.4227s, 首字: 6.1135s, Rerank占比(总): 1.38%, Rerank占比(检): 2.32%
题号: professional_law_127, 正确: True, 检索: 3.5419s, Rerank: 0.0835s, 生成: 2.4344s, 首字: 6.1305s, Rerank占比(总): 1.36%, Rerank占比(检): 2.30%
题号: professional_law_128, 正确: False, 检索: 3.5507s, Rerank: 0.0853s, 生成: 2.4921s, 首字: 6.1990s, Rerank占比(总): 1.38%, Rerank占比(检): 2.34%
题号: professional_law_129, 正确: False, 检索: 3.5579s, Rerank: 0.0839s, 生成: 2.4195s, 首字: 6.1318s, Rerank占比(总): 1.37%, Rerank占比(检): 2.30%
题号: professional_law_130, 正确: False, 检索: 3.5258s, Rerank: 0.0835s, 生成: 2.4260s, 首字: 6.1054s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: professional_law_131, 正确: True, 检索: 3.6050s, Rerank: 0.0845s, 生成: 2.4258s, 首字: 6.1871s, Rerank占比(总): 1.37%, Rerank占比(检): 2.29%
题号: professional_law_132, 正确: True, 检索: 3.5469s, Rerank: 0.0845s, 生成: 2.4279s, 首字: 6.1294s, Rerank占比(总): 1.38%, Rerank占比(检): 2.33%
题号: professional_law_133, 正确: False, 检索: 3.5161s, Rerank: 0.0837s, 生成: 2.4130s, 首字: 6.0831s, Rerank占比(总): 1.38%, Rerank占比(检): 2.33%
题号: professional_law_134, 正确: True, 检索: 3.5460s, Rerank: 0.0837s, 生成: 2.4546s, 首字: 6.1533s, Rerank占比(总): 1.36%, Rerank占比(检): 2.31%
题号: professional_law_135, 正确: True, 检索: 3.5577s, Rerank: 0.0844s, 生成: 2.4527s, 首字: 6.1644s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_136, 正确: False, 检索: 3.5085s, Rerank: 0.0835s, 生成: 2.4213s, 首字: 6.0828s, Rerank占比(总): 1.37%, Rerank占比(检): 2.33%
题号: professional_law_137, 正确: False, 检索: 3.5138s, Rerank: 0.0836s, 生成: 2.4304s, 首字: 6.0987s, Rerank占比(总): 1.37%, Rerank占比(检): 2.32%
题号: professional_law_138, 正确: False, 检索: 3.5102s, Rerank: 0.0838s, 生成: 2.4249s, 首字: 6.0919s, Rerank占比(总): 1.38%, Rerank占比(检): 2.33%
题号: professional_law_139, 正确: False, 检索: 3.5737s, Rerank: 0.0895s, 生成: 2.4468s, 首字: 6.1830s, Rerank占比(总): 1.45%, Rerank占比(检): 2.44%
题号: professional_law_140, 正确: False, 检索: 3.5393s, Rerank: 0.0876s, 生成: 2.5334s, 首字: 6.2290s, Rerank占比(总): 1.41%, Rerank占比(检): 2.41%
题号: professional_law_141, 正确: False, 检索: 3.5903s, Rerank: 0.0844s, 生成: 2.4981s, 首字: 6.2412s, Rerank占比(总): 1.35%, Rerank占比(检): 2.30%
题号: professional_law_142, 正确: False, 检索: 3.6030s, Rerank: 0.0892s, 生成: 2.5630s, 首字: 6.3258s, Rerank占比(总): 1.41%, Rerank占比(检): 2.42%
